title,address,city,state,zipcode,type
METEDECONK NATIONAL G.C.,50 HANNAH HILL ROAD,JACKSON,NJ,08527,Draft
DEMARINIS,N88 W15229 MAIN ST,MENOMONEE FALLS,WI,53051-313,Draft
SHAKERS CIGAR BAR&WLDCAFE,422 S 2ND ST,MILWAUKEE,WI,53204,Draft
METUCHEN GOLF COUNTRY CL,244 PLAINFIELD RD,EDISON,NJ,088200000,Draft
BIRCHWOOD GRILL,7515 125TH AVENUE,KENOSHA,WI,53142,Draft
SONS OF LIBERTY TAVERN,85 NORTH POLICY ROAD,SALEM,NH,03079,Draft
BOTTLE KING LEDGEWOOD,280  RT. 10,SUCCASUNNA,NJ,078760000,Draft
LIQUOR BARN,1051 FLORENCE COLUMBUS,BORDENTOWN,NJ,08505,Draft
STONEY BROOK GRILLE,1285 ROUTE 28,SOMERVILLE,NJ,088760000,Draft
SACRED HEART GERMAN FEST,114 S ELIZABETH,LOMBARD,IL,60148,Draft
GOODY GOODY LIQUOR INC,824 S CENTRAL EXPRESSWAY,ANNA,TX,75409,Draft
MAXIMILIAN'S-00057,8141 STATE RD 52,HUDSON,FL,34667,Draft
THE VARSITY CLUB,12400 W BELOIT ROAD,NEW BERLIN,WI,53151,Draft
GERMAN AMERICAN CLUB,215 UNCLE PETE RD,TRENTON,NJ,08691,Draft
RIVOLI'S GRILL & CHILL,8-16 RAMTOWN GREENVILLE R,HOWELL,NJ,07731,Draft
ULYSSES AMERICAN GASTRO,1716 MARSH ROAD,WILMINGTON,DE,19810,Draft
BRISTOL RENAISSANCE FAIRE,12550 120TH AVENUE,KENOSHA,WI,531427337,Draft
Khayat Lakehouse L.B.,525 ROCKLAND RD.,Lake Bluff,IL,60044,Draft
THE CAMBRIDGE,1508-10 SOUTH STREET,PHILADELPHIA,PA,19146,Draft
WORLD OF BEER,1601 SHERMAN AVENUE,EVANSTON,IL,60201,Draft
BOWL & BARREL,8084  PARK,DALLAS,TX,752316029,Draft
TILTED KILT,826 W. DEKALB PIKE,KING OF PRUSSIA,PA,19406,Draft
MEADOWBROOK COUNTRY CLUB,2149 N GREEN BAY ROAD,RACINE,WI,53405,Draft
HASKELL'S LIQUOR-STILLWTR,2225 CURVE CREST BLVD,STILLWATER,MN,55082,Draft
WINE CASTLE,33415 SEVEN MILE,LIVONIA,MI,48152,Draft
DEUCE'S &THE DIAMOND CLUB,3505 N CLARK ST,CHICAGO,IL,60657,Draft
B & J PIZZA #1 (FT),6335 S PADRE ISLAND DR,CORPUS CHRISTI,TX,78412,Draft
MAYFLOWER INN & SPA,118 WOODBURY RD,WASHINGTON,CT,067930000,Draft
DISCOVER WINE,66 WEST MAIN ST.,SOMERVILLE,NJ,088760000,Draft
DONNELLY'S PUBLIC HOUSE,1 S. WATER STREET,FAIRPORT,NY,14450,Draft
KURTZ'S,1410 WASHINGTON STREET,TWO RIVERS,WI,54241,Draft
WORLD OF BEER-11337,12904 N DALE MABRY HWY,TAMPA,FL,33618,Draft
GERMAN AMERICAN CLUB,4165 LAKESIDE DR,JACKSONVILLE,FL,32210,Draft
LAKEWOOD MAENNERCHOR,90 LANESMILL RD-BOX 118,HOWELL,NJ,07731,Draft
BAVARIAN GRILL ASSOC.,221   PARKER ROAD,PLANO,TX,75023,Draft
WHITE DEER WINE & SPIRITS,1801 SUPERIOR ST,THREE LAKES,WI,54562,Draft
VILLAGE PIZZA &PUB-CVILLE,145 NORTH KENNEDY DRIVE,CARPENTERSVILLE,IL,60110,Draft
WOOL STREET GRILL & SPORTS BAR,128 WOOL STREET,BARRINGTON,IL,60010,Draft
DURBINS OF EVERGREEN,10244 S KEDZIE AVE,EVERGREEN PARK,IL,60805,Draft
BUFFALO WILD WINGS-GENEVA,820 COMMONS DRIVE,GENEVA,IL,60134,Draft
SAVANNA HOUSE,38905 ROUTE 41,Wadsworth,IL,60083,Draft
MULLIGANS IRISH P&G,8933 S 27TH ST,FRANKLIN,WI,53132,Draft
RIDER UNIVERSITY  THE PUB,2083 LAWRENCEVILLE RD,LAWRENCEVILLE,NJ,08648,Draft
KICKOFF SPORTS BAR,4630 W LAWRENCE AVE,CHICAGO,IL,60630,Draft
TOWN COUNTRY LIQUOR,US HWY 51 N,HURLEY,WI,54534,Draft
ST MARTINS INN - WEGNER'S,11318 W ST MARTINS RD,FRANKLIN,WI,53132,Draft
SENOR WONG,111 EAST KELLOGG BLVD,ST. PAUL,MN,55101,Draft
DEUTSCHER CLUB OF CLARK,787 FEATHERBED LANE,CLARK,NJ,070660000,Draft
DAYS INN-BLUEMOUND GARDENS REST,11811 W BLUEMOUND RD,WAUWATOSA,WI,53226,Draft
EPP'S BEVERAGE,80 WEST RIDGE PIKE,LIMERICK,PA,19468,Draft
OKO'S OUTPOST,219 GRANT ST,WARRENS,WI,54666,Draft
RUDOLPH'S,1933 SO LYNDALE AVE,MINNEAPOLIS,MN,55403,Draft
J P HENLEYS,10-A MARINE STREET,SAINT AUGUSTINE,FL,32084,Draft
GALWAY ARMS,2442 N CLARK ST,CHICAGO,IL,60614,Draft
RICHBORO BEER & SODA,1078 2ND STREET PIKE,RICHBORO,PA,18954,Draft
WINE COUNTRY - NEWTON,49 HAMPTON HOUSE ROAD,NEWTON,NJ,07860,Draft
TIMOTHY O'TOOLES,5572 GRAND AVE.,Gurnee,IL,60031,Draft
Mickey Finn's,412 N MILWAUKEE AVE,Libertyville,IL,60048,Draft
YARD ARM BAR AND GRILL,920 ERIE STREET,RACINE,WI,53404,Draft
MARK'S EAST SIDE,1405 E WISCONSIN AVENUE,APPLETON,WI,54911,Draft
BANNERMANS SPORTS GRILL,858 SOUTH RT. 59,BARTLETT,IL,60103,Draft
HAPPY TAP,6801 W BELOIT RD,WEST ALLIS,WI,53219,Draft
REICHENBACH,5 WEST 37TH STREET,NEW YORK,NY,10018,Draft
BOONE'S LONG LAKE INN,7208 SECOR RD,TRAVERSE CITY,MI,49684,Draft
FLINT'S INN,4708 22ND AVENUE,KENOSHA,WI,53140,Draft
THE SPOT PIZZA GRILL,952  LAKEWOOD RD,TOMS RIVER,NJ,08753,Draft
STONE SOUP CAFE-07332,4122 16TH ST N,ST PETERSBURG,FL,33703,Draft
CHANCERY PUB 27TH  #105,4624 S 27TH ST,MILWAUKEE,WI,53221,Draft
MIKEY'S,10936 SHERIDAN ROAD,PLEASANT PRAIRIE,WI,53158,Draft
Gerst Bavarian Haus,2100 W Franklin St,Evansville,IN,47712,Draft
BUFFALO WILD WINGS #330,7130 CERMAK RD.,BERWYN,IL,60402,Draft
57 BAR,5632 W BURNHAM ST,WEST ALLIS,WI,53219,Draft
VILLAGE TAVERN,135 OLD MCHENRY RD.,Long Grove,IL,60047,Draft
BOSCOS SOCIAL CLUB,260 W MAIN STREET,WAUKESHA,WI,53186,Draft
COSMOS,980 TRENTON ROAD,FAIRLESS HILLS,PA,19030,Draft
DONOVAN'S REEF,611 RINK ROAD,TWIN LAKES,WI,53181,Draft
SOUTH SHORE YACHT CLUB,2300 E NOCK ST,MILWAUKEE,WI,53207,Draft
GINGERBREAD MAN CARLISLE,5 COURT HOUSE AVE,CARLISLE,PA,17013,Draft
SUSSEX BOWL,N64 W24576 MAIN STREET,SUSSEX,WI,53089,Draft
COLONY HOUSE,25811 119TH STREET,TREVOR,WI,53179,Draft
DER SCHWARZE KOLNER,710 FULTON STREET,BROOKLYN,NY,11217,Draft
ESTATE/PAINTED PONY LLC,2423 N MURRAY AVE,MILWAUKEE,WI,53211,Draft
WORLD OF BEER,9700 DEERLAKE COURT #1,JACKSONVILLE,FL,32246,Draft
OFF BROADWAY PUB,9048 W. MONROE AVE.,BROOKFIELD,IL,60513,Draft
STANTON RIDGE C C,RT 523 CLUBHOUSE DRIVE,WHITEHOUSE STA,NJ,088890000,Draft
BULLDOG 60,1101 S 60TH ST,WEST ALLIS,WI,53214,Draft
ELDORADO WINE HOUSE,340 ROUTE 46,MOUNTAIN LAKES,NJ,070460000,Draft
BYELORUSSIAN AMER COM CTR,284 WHITEHEAD & KAMM AVE,SOUTH RIVER,NJ,088820000,Draft
VILLAGE BEVERAGE CENTER,327 E. WASHINGTON,SLINGER,WI,53086 954,Draft
BRETT\'S FARMHOUSE,7424 N 60TH ST,MILWAUKEE,WI,53223,Draft
TOUCH OF CLASS,121 S LAKE STREET,TWIN LAKES,WI,53181,Draft
